trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.01, 'e': 0.23930892224375455}",20,2,-9.248252693039632,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23692775868212176}",20,0,7.7767621183413125,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 0.01, 'e': 0.23457028809379765}",20,0,5.795065549933332,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
146,False,"{'a': 0.01, 'e': 0.23223627472975883}",25,0,13.655768569290473,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
147,False,"{'a': 0.01, 'e': 0.22992548518672384}",30,6,27.174032728466006,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.22763768838381274}",20,6,14.49431559515431,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.22537265553943872}",30,21,9.834512802505625,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.22313016014842982}",20,0,-19.812306459409193,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
151,False,"{'a': 0.01, 'e': 0.2209099779593782}",20,7,7.657674396255694,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.21871188695221475}",20,0,31.26712914903103,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.01, 'e': 0.21653566731600707}",25,5,4.492283531681626,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.21438110142697794}",25,8,-2.8323720842801166,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.21224797382674304}",30,10,-16.741762428529892,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.01, 'e': 0.21013607120076472}",20,10,18.471319661430098,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.20804518235702046}",25,17,3.586442887494815,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.20597509820488344}",25,11,27.050887151720403,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.20392561173421342}",20,9,20.954953069038524,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.20189651799465538}",25,0,-107.61733054540483,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
161,False,"{'a': 0.01, 'e': 0.1998876140751445}",25,0,7.234774778339036,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
162,False,"{'a': 0.01, 'e': 0.19789869908361465}",20,4,13.197717322658935,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.19592957412690934}",20,0,19.036790850675086,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
164,False,"{'a': 0.01, 'e': 0.19398004229089189}",30,0,-19.72861678015781,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
165,False,"{'a': 0.01, 'e': 0.19204990862075408}",20,2,-3.487454329726116,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.1901389801015205}",25,0,3.15081886698108,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
167,False,"{'a': 0.01, 'e': 0.1882470656387468}",30,14,7.780641158807966,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.18637397603940997}",25,17,15.52582957128097,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18451952399298926}",20,12,2.3482576985371684,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18268352405273466}",20,12,12.863328770828673,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.1808657926171221}",25,3,-3.2032698164934654,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.17906614791149322}",25,0,-35.01929662640979,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
173,False,"{'a': 0.01, 'e': 0.17728440996987782}",30,12,3.9171800050868706,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.17552040061699686}",30,11,13.78753569490577,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.01, 'e': 0.17377394345044514}",20,3,-31.412265189455084,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
176,False,"{'a': 0.01, 'e': 0.17204486382305054}",30,10,13.491424151540356,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17033298882540943}",20,16,9.242481781703212,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.1686381472685955}",20,15,-3.2046148317030667,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.1669601696670407}",20,0,-35.34491692251066,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
180,False,"{'a': 0.01, 'e': 0.16529888822158653}",20,12,11.699871856441252,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.16365413680270405}",20,7,19.515680749956807,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.01, 'e': 0.16202575093388075}",30,14,-18.604556045307383,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
183,False,"{'a': 0.01, 'e': 0.16041356777517274}",20,0,-3.633784562146006,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
184,False,"{'a': 0.01, 'e': 0.15881742610692068}",30,10,29.105017946959663,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.01, 'e': 0.1572371663136276}",20,9,-15.336234020027538,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
186,False,"{'a': 0.01, 'e': 0.1556726303679973}",20,8,21.72564281036155,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.01, 'e': 0.1541236618151314}",20,3,26.7953545968969,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.01, 'e': 0.15259010575688386}",30,1,-7.082283187655576,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 1}",1
189,False,"{'a': 0.01, 'e': 0.15107180883637084}",25,12,20.356040844251325,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.01, 'e': 0.14956861922263504}",30,14,27.95821496994737,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.01, 'e': 0.14808038659546244}",25,17,16.057147487173637,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.01, 'e': 0.14660696213035015}",20,0,4.560906878650609,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
193,False,"{'a': 0.01, 'e': 0.14514819848362373}",25,15,8.061467808682824,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.01, 'e': 0.14370394977770293}",20,3,28.918441468221445,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.01, 'e': 0.1422740715865136}",30,16,28.949207749879548,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.01, 'e': 0.140858420921045}",20,12,14.204131503361197,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.01, 'e': 0.13945685621505094}",20,13,15.304550045871576,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.01, 'e': 0.13806923731089282}",30,18,-0.21954730873740003,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
199,False,"{'a': 0.01, 'e': 0.13669542544552385}",30,22,13.363543304146443,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
